Family,LF_Idno,Genus,Specis ,Phyloname,Clade,CH,CB1,CB5,Man,Clad
Scombridae,9,scomberomorus,cavalla,Scomberomorus_cavalla,Percamorpha,7.8,8.5,3.7,8.2,D
Scombridae,59,thunnus,atlanticus,Thunnus_atlanticus,Percamorpha,9,10,6.5,10,D
Scrombridae,53,-,-,Thunnus_obesus,Percamorpha,6,6.5,4.2,7,D
Scrombridae,55,acanthocybium,solandri,Acanthocybium_solandri,Percamorpha,9.4,10.7,5.7,12.8,D
Scrombridae,61,thunnus,albacares,Thunnus_albacares,Percamorpha,13,13.5,8.5,12.5,D
Serranidae,69,epinephelus,adscensionis,Epinephelus_adscensionis,Percamorpha,7.3,5,3,7.5,D
Serranidae,71,epinephelus,niveatus,Hyporthodus_niveatus,Percamorpha,7.2,5.8,3.7,7,D
Serranidae,68,hyporthodus,nigritus,Hyporthodus_nigritus,Percamorpha,10.4,8.9,4.1,10.2,D
Serranidae,70,mycteroperca,bonaci,Mycteroperca_bonaci,Percamorpha,7.3,7.3,4.4,8.5,D
Serranidae,66,rypticus,saponaceus,Rypticus_saponaceus,Percamorpha,2.3,1.7,0.8,2.5,D
Serranidae,67,rypticus,maculatus,Rypticus_nigripinnis,Percamorpha,2.3,1.9,0.7,2.4,D
Sparidae,29,archosargus,probatocephalus,Archosargus_probatocephalus,Percamorpha,3.5,3,3,3.5,D
Sparidae,50,calamus,leucosteus,Calamus_calamus,Percamorpha,2.6,2.2,1.3,3.4,D
Sparidae,30,diplodus,holbrookii,Diplodus_holbrookii,Percamorpha,1.5,1.5,1.3,1.5,D
Sparidae,39,lagodon,rhomboides,Lagodon_rhomboides,Percamorpha,1.1,1,1.1,1.3,D
Sparidae,44,lagodon,rhomboides,Lagodon_rhomboides,Percamorpha,1.8,2.1,1.8,2.8,D
Sparidae,38,pagrus,pagrus,Pagrus_pagrus,Percamorpha,3.5,2.6,2.2,3.8,D
Sparidae,43,stenotomus,chrysops,Stenotomus_chrysops,Percamorpha,1.8,1.8,1.5,3.3,D
Sphyraenidae,1,sphyraena,guachancho,Sphyraena_guachancho,Percamorpha,3.7,4.4,1.7,6.4,D
